date,team,team_code,opponent,size,lineup,seconds,minutes,plus_minus,pts,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,tov,stl,blk,opp_pts,opp_fgm,opp_fga,opp_tpm,opp_tpa,opp_ftm,opp_fta,opp_orb,opp_drb,opp_ast,opp_tov,opp_stl,opp_blk
2026-07-23,Diablos Rojos,DRM,AGS,1,#23 DEVON SCOTT,1612,26.87,-2,56,20,39,8,21,8,9,5,21,13,10,2,1,52,16,38,7,19,13,17,4,16,7,7,3,3
2026-07-23,Diablos Rojos,DRM,AGS,1,#9 THOMAS DRECHSEL,2015,33.58,-5,63,23,61,7,34,10,11,15,27,16,9,3,1,65,21,52,10,28,13,16,7,25,11,9,3,6
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #9 THOMAS DRECHSEL,1472,24.53,-1,51,18,36,7,20,8,9,5,19,13,8,2,1,46,15,36,6,18,10,13,4,15,7,7,3,3
2026-07-23,Diablos Rojos,DRM,AGS,1,#24 MICHAEL CARRERA,1925,32.08,-3,58,22,58,7,32,7,7,14,25,14,10,2,1,64,21,50,11,26,11,15,7,23,10,7,3,6
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #24 MICHAEL CARRERA,1450,24.17,1,48,17,34,7,19,7,7,4,18,11,9,1,1,44,14,33,6,15,10,14,3,14,5,5,3,3
2026-07-23,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,1808,30.13,-2,55,21,56,6,31,7,7,14,23,14,8,2,1,57,19,46,9,24,10,13,6,22,9,7,3,6
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,1333,22.22,2,45,16,32,6,18,7,7,4,16,11,7,1,1,40,13,31,5,14,9,12,3,13,5,5,3,3
2026-07-23,Diablos Rojos,DRM,AGS,1,#6 SANTIAGO SCALA,1616,26.93,-2,52,18,38,9,23,7,7,5,17,13,8,1,1,55,18,37,7,16,12,14,4,15,8,4,4,3
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #6 SANTIAGO SCALA,1172,19.53,3,37,13,27,8,18,3,3,3,12,9,4,0,0,35,12,23,5,10,6,7,1,11,5,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA,1164,19.4,5,36,13,29,7,18,3,3,5,13,10,5,0,0,32,11,25,5,12,5,6,2,11,4,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1231,20.52,4,38,13,31,7,19,5,5,5,15,11,5,0,0,39,13,28,6,13,7,8,2,13,6,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,1033,17.22,5,32,11,24,7,17,3,3,3,11,8,4,0,0,28,10,21,4,9,4,5,1,10,3,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1032,17.2,4,32,11,25,7,17,3,3,3,12,9,4,0,0,33,12,23,5,10,4,5,1,11,5,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1047,17.45,6,33,12,28,6,17,3,3,5,13,10,5,0,0,32,11,25,5,12,5,6,2,11,4,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,916,15.27,6,29,10,23,6,16,3,3,3,11,8,4,0,0,28,10,21,4,9,4,5,1,10,3,3,1,3
2026-07-23,Diablos Rojos,DRM,AGS,1,#7 JOSE CRUZ,1111,18.52,-10,21,9,22,2,11,1,1,4,12,6,7,0,1,37,12,25,6,16,7,10,4,10,7,1,2,0
