date,team,team_code,opponent,size,lineup,seconds,plus_minus,minutes,pm_per36
2026-07-24,Diablos Rojos,DRM,AGS,1,#0 YAN DJALO,1160,-4,19.33,-7.45
2026-07-24,Diablos Rojos,DRM,AGS,1,#23 DEVON SCOTT,1859,11,30.98,12.78
2026-07-24,Diablos Rojos,DRM,AGS,1,#6 SANTIAGO SCALA,1804,2,30.07,2.39
2026-07-24,Diablos Rojos,DRM,AGS,1,#7 JOSE CRUZ,1109,10,18.48,19.48
2026-07-24,Diablos Rojos,DRM,AGS,1,#9 THOMAS DRECHSEL,1830,-4,30.5,-4.72
2026-07-24,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #23 DEVON SCOTT,834,4,13.9,10.36
2026-07-24,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #6 SANTIAGO SCALA,790,-5,13.17,-13.67
2026-07-24,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #7 JOSE CRUZ,692,6,11.53,18.73
2026-07-24,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #9 THOMAS DRECHSEL,828,-1,13.8,-2.61
2026-07-24,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #6 SANTIAGO SCALA,1635,6,27.25,7.93
2026-07-24,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #7 JOSE CRUZ,822,13,13.7,34.16
2026-07-24,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #9 THOMAS DRECHSEL,1563,1,26.05,1.38
2026-07-24,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #7 JOSE CRUZ,627,8,10.45,27.56
2026-07-24,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1379,-6,22.98,-9.4
2026-07-24,Diablos Rojos,DRM,AGS,2,#7 JOSE CRUZ / #9 THOMAS DRECHSEL,964,11,16.07,24.65
2026-07-24,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA,740,-1,12.33,-2.92
2026-07-24,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #7 JOSE CRUZ,530,9,8.83,36.68
2026-07-24,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #9 THOMAS DRECHSEL,697,2,11.62,6.2
2026-07-24,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #7 JOSE CRUZ,436,4,7.27,19.82
2026-07-24,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,603,-3,10.05,-10.75
2026-07-24,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,547,7,9.12,27.64
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ,598,8,9.97,28.9
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1339,-4,22.32,-6.45
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,822,13,13.7,34.16
2026-07-24,Diablos Rojos,DRM,AGS,3,#6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,627,8,10.45,27.56
2026-07-24,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ,436,4,7.27,19.82
2026-07-24,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,603,-3,10.05,-10.75
2026-07-24,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #23 DEVON SCOTT / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,530,9,8.83,36.68
2026-07-24,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,436,4,7.27,19.82
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,598,8,9.97,28.9
2026-07-24,Diablos Rojos,DRM,AGS,5,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,436,4,7.27,19.82
2026-07-24,Diablos Rojos,DRM,AGS,1,#24 MICHAEL CARRERA,1545,-4,25.75,-5.59
2026-07-24,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #24 MICHAEL CARRERA,1021,2,17.02,4.23
2026-07-24,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA,1060,-2,17.67,-4.08
2026-07-24,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #7 JOSE CRUZ,562,3,9.37,11.53
2026-07-24,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,1116,-4,18.6,-7.74
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,891,2,14.85,4.85
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #7 JOSE CRUZ,292,4,4.87,29.59
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,866,-1,14.43,-2.49
2026-07-24,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ,191,4,3.18,45.24
2026-07-24,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,776,-3,12.93,-8.35
2026-07-24,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,417,4,6.95,20.72
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ,162,4,2.7,53.33
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,736,-1,12.27,-2.93
2026-07-24,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,292,4,4.87,29.59
2026-07-24,Diablos Rojos,DRM,AGS,4,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,191,4,3.18,45.24
2026-07-24,Diablos Rojos,DRM,AGS,5,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,162,4,2.7,53.33
2026-07-24,Diablos Rojos,DRM,AGS,1,#66 GLENN COSEY,1606,2,26.77,2.69
2026-07-24,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #66 GLENN COSEY,1094,10,18.23,19.74
2026-07-24,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #66 GLENN COSEY,1354,-8,22.57,-12.76
2026-07-24,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #66 GLENN COSEY,1010,1,16.83,2.14
2026-07-24,Diablos Rojos,DRM,AGS,2,#66 GLENN COSEY / #9 THOMAS DRECHSEL,1036,-5,17.27,-10.42
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #66 GLENN COSEY,859,-2,14.32,-5.03
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #66 GLENN COSEY,870,5,14.5,12.41
2026-07-24,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #66 GLENN COSEY / #9 THOMAS DRECHSEL,798,0,13.3,0.0
