date,team,team_code,opponent,size,lineup,seconds,minutes,plus_minus,pts,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,tov,stl,blk,opp_pts,opp_fgm,opp_fga,opp_tpm,opp_tpa,opp_ftm,opp_fta,opp_orb,opp_drb,opp_ast,opp_tov,opp_stl,opp_blk
2026-08-01,Diablos Rojos,DRM,CHI,1,#66 GLENN COSEY,1762,29.37,18,65,24,52,10,25,7,8,7,26,19,12,9,0,48,16,43,6,18,10,16,5,21,17,11,7,1
2026-08-01,Diablos Rojos,DRM,CHI,1,#9 THOMAS DRECHSEL,1709,28.48,26,59,21,51,9,23,8,9,9,26,18,10,9,2,38,14,48,5,18,5,12,11,21,13,13,6,2
2026-08-01,Diablos Rojos,DRM,CHI,1,#0 YAN DJALO,1655,27.58,25,59,20,43,6,19,13,14,7,23,17,12,8,1,39,15,40,4,13,5,10,6,16,14,10,7,1
2026-08-01,Diablos Rojos,DRM,CHI,1,#7 JOSE CRUZ,1579,26.32,11,55,20,43,6,19,9,11,8,19,18,8,7,1,40,15,42,5,16,5,8,9,17,15,9,5,1
2026-08-01,Diablos Rojos,DRM,CHI,1,#23 DEVON SCOTT,1511,25.18,12,47,17,40,7,17,6,8,8,23,16,11,5,2,39,16,46,6,19,1,4,11,16,13,8,7,2
2026-08-01,Diablos Rojos,DRM,CHI,1,#6 SANTIAGO SCALA,1479,24.65,3,43,14,39,6,18,9,11,7,23,15,11,1,2,42,15,42,5,14,7,12,8,19,14,4,6,2
2026-08-01,Diablos Rojos,DRM,CHI,1,#10 BRUNO PEDRO,1253,20.88,7,44,16,36,6,17,6,7,5,17,13,8,5,0,37,12,31,3,9,10,14,4,16,14,7,5,1
2026-08-01,Diablos Rojos,DRM,CHI,1,#12 RODRIGO DOMINGUEZ,323,5.38,-6,8,3,9,1,5,1,3,2,6,3,1,0,0,14,4,11,2,5,4,6,2,6,5,0,0,0
2026-08-01,Diablos Rojos,DRM,CHI,1,#11 LUIS ANDRIASSI,201,3.35,1,10,4,5,1,1,1,2,1,1,3,0,0,0,9,3,5,1,2,2,2,1,1,4,0,0,0
2026-08-01,Diablos Rojos,DRM,CHI,1,#21 PEDRO MENDOZA,197,3.28,-3,10,4,5,1,1,1,2,1,1,3,1,0,0,13,3,4,1,1,6,6,0,1,5,0,0,0
2026-08-01,Diablos Rojos,DRM,CHI,1,#26 JAVIER GARCIA,64,1.07,-4,1,0,1,0,0,1,2,1,0,0,0,0,0,5,2,2,1,1,0,0,0,1,2,0,0,0
2026-08-01,Diablos Rojos,DRM,CHI,2,#0 YAN DJALO / #7 JOSE CRUZ,1346,22.43,14,48,17,36,5,16,9,10,7,16,15,7,6,1,30,11,32,3,10,5,8,6,13,11,8,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#66 GLENN COSEY / #9 THOMAS DRECHSEL,1275,21.25,19,49,18,40,8,19,5,6,6,21,13,8,9,0,30,11,34,4,14,4,10,5,16,11,11,5,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#0 YAN DJALO / #9 THOMAS DRECHSEL,1177,19.62,30,41,14,30,5,13,8,8,5,16,12,8,8,1,21,7,27,2,9,5,10,6,10,7,10,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#66 GLENN COSEY / #7 JOSE CRUZ,1157,19.28,10,40,15,32,6,16,4,5,6,13,12,6,7,0,26,9,24,4,12,4,6,3,12,10,8,3,0
2026-08-01,Diablos Rojos,DRM,CHI,2,#10 BRUNO PEDRO / #66 GLENN COSEY,1142,19.03,8,41,15,34,6,16,5,5,4,15,11,7,5,0,33,10,26,3,8,10,14,3,15,12,7,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#0 YAN DJALO / #66 GLENN COSEY,1126,18.77,21,45,16,33,6,16,7,7,5,17,12,9,8,0,25,9,24,3,10,4,8,1,11,9,9,5,0
2026-08-01,Diablos Rojos,DRM,CHI,2,#7 JOSE CRUZ / #9 THOMAS DRECHSEL,1089,18.15,15,38,14,32,5,14,5,6,6,14,13,6,7,1,29,10,31,4,13,5,8,8,13,10,9,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#23 DEVON SCOTT / #6 SANTIAGO SCALA,1086,18.1,6,29,10,27,5,12,4,5,6,16,11,9,1,2,27,11,30,4,11,1,4,7,11,8,4,5,2
2026-08-01,Diablos Rojos,DRM,CHI,2,#23 DEVON SCOTT / #9 THOMAS DRECHSEL,1060,17.67,15,33,12,31,6,13,3,4,6,15,11,6,5,2,23,9,32,4,14,1,4,10,13,7,8,4,2
2026-08-01,Diablos Rojos,DRM,CHI,2,#0 YAN DJALO / #23 DEVON SCOTT,1051,17.52,14,27,9,21,3,10,6,7,4,13,9,8,4,1,22,9,25,3,10,1,4,6,8,7,5,5,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#23 DEVON SCOTT / #7 JOSE CRUZ,1014,16.9,0,28,11,23,3,10,3,5,5,11,10,5,4,1,25,10,29,4,13,1,2,9,9,9,5,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#10 BRUNO PEDRO / #9 THOMAS DRECHSEL,966,16.1,7,32,12,28,5,13,3,3,4,13,8,6,5,0,25,9,23,3,8,4,8,3,12,9,7,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#23 DEVON SCOTT / #66 GLENN COSEY,937,15.62,6,30,11,26,6,12,2,3,4,14,10,7,5,0,27,11,27,5,14,0,2,4,11,9,6,5,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#6 SANTIAGO SCALA / #66 GLENN COSEY,925,15.42,4,29,10,25,5,13,4,4,2,15,9,7,1,0,25,8,22,3,8,6,10,2,12,8,2,4,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#0 YAN DJALO / #6 SANTIAGO SCALA,922,15.37,3,20,5,19,2,10,8,9,3,11,7,8,1,1,24,10,22,3,7,1,4,4,11,8,2,5,1
2026-08-01,Diablos Rojos,DRM,CHI,2,#6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,847,14.12,10,23,7,24,4,11,5,5,4,15,7,5,1,2,15,6,25,2,7,1,6,7,12,4,4,3,2
2026-08-01,Diablos Rojos,DRM,CHI,2,#10 BRUNO PEDRO / #7 JOSE CRUZ,766,12.77,5,26,9,22,3,11,5,6,4,9,8,5,4,0,22,8,18,2,6,4,6,2,10,9,5,3,0
2026-08-01,Diablos Rojos,DRM,CHI,2,#6 SANTIAGO SCALA / #7 JOSE CRUZ,688,11.47,-5,15,4,14,1,7,6,7,3,6,6,3,0,1,17,7,17,2,5,1,2,5,8,6,1,2,1
