date,team,team_code,opponent,size,lineup,seconds,minutes,plus_minus,pts,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,tov,stl,blk,opp_pts,opp_fgm,opp_fga,opp_tpm,opp_tpa,opp_ftm,opp_fta,opp_orb,opp_drb,opp_ast,opp_tov,opp_stl,opp_blk
2026-08-05,Diablos Rojos,DRM,IRA,1,#0 YAN DJALO,1587,26.45,16,60,24,44,6,20,6,6,5,23,18,7,5,4,44,16,46,5,13,7,11,9,14,7,7,2,1
2026-08-05,Diablos Rojos,DRM,IRA,1,#6 SANTIAGO SCALA,1483,24.72,22,62,23,45,7,22,9,9,9,23,18,4,3,3,42,13,38,5,14,11,16,5,11,6,4,1,2
2026-08-05,Diablos Rojos,DRM,IRA,1,#9 THOMAS DRECHSEL,1458,24.3,15,62,24,44,6,20,8,9,6,19,18,4,4,2,47,15,41,7,15,10,15,10,13,7,5,1,2
2026-08-05,Diablos Rojos,DRM,IRA,1,#10 BRUNO PEDRO,1429,23.82,16,59,20,40,11,26,8,9,8,22,13,8,2,5,43,14,39,6,17,9,13,5,10,8,5,3,0
2026-08-05,Diablos Rojos,DRM,IRA,1,#7 JOSE CRUZ,1279,21.32,23,51,20,35,7,19,4,4,4,19,12,5,3,4,28,12,39,3,11,1,1,9,9,6,5,2,1
2026-08-05,Diablos Rojos,DRM,IRA,1,#66 GLENN COSEY,1070,17.83,11,46,15,32,8,21,8,9,7,13,11,4,2,3,34,11,27,5,12,7,10,4,7,7,5,3,0
2026-08-05,Diablos Rojos,DRM,IRA,1,#23 DEVON SCOTT,1060,17.67,18,49,19,34,6,16,5,6,6,15,15,3,1,1,31,12,36,5,11,2,3,9,8,5,3,2,4
2026-08-05,Diablos Rojos,DRM,IRA,1,#21 PEDRO MENDOZA,857,14.28,6,35,11,19,7,12,6,8,2,13,9,6,1,2,29,12,28,4,10,1,2,3,6,6,3,2,3
2026-08-05,Diablos Rojos,DRM,IRA,1,#12 RODRIGO DOMINGUEZ,724,12.07,2,30,9,19,5,9,7,9,5,8,6,4,2,0,28,10,21,4,9,4,5,3,4,4,3,1,3
2026-08-05,Diablos Rojos,DRM,IRA,1,#11 LUIS ANDRIASSI,487,8.12,1,19,6,10,4,7,3,4,1,7,5,4,1,1,18,6,14,3,7,3,4,2,2,3,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,1,#26 JAVIER GARCIA,235,3.92,2,12,4,4,3,3,1,2,0,3,2,3,1,0,10,4,8,2,4,0,0,1,0,1,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #9 THOMAS DRECHSEL,1208,20.13,12,48,20,36,4,15,4,4,4,16,15,3,4,2,36,12,34,5,11,7,11,9,11,5,4,0,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1174,19.57,15,49,19,35,4,14,7,7,6,17,14,3,3,2,34,10,28,4,10,10,15,4,10,4,3,0,2
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #6 SANTIAGO SCALA,1053,17.55,10,41,17,30,3,11,4,4,4,14,14,3,3,2,33,11,27,4,9,7,11,4,9,4,3,0,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #7 JOSE CRUZ,1006,16.77,18,40,16,27,4,12,4,4,2,14,10,4,3,3,24,11,32,2,8,0,0,8,8,5,4,1,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#6 SANTIAGO SCALA / #7 JOSE CRUZ,907,15.12,18,36,15,27,4,13,2,2,4,13,9,3,2,2,20,8,25,3,8,1,1,4,7,4,3,1,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#23 DEVON SCOTT / #6 SANTIAGO SCALA,885,14.75,22,41,16,27,5,14,4,4,4,14,13,2,1,1,21,8,25,3,8,2,3,4,6,3,2,1,2
2026-08-05,Diablos Rojos,DRM,IRA,2,#23 DEVON SCOTT / #7 JOSE CRUZ,868,14.47,16,34,14,24,4,12,2,2,4,12,9,2,1,1,18,7,26,3,7,1,1,7,5,3,2,1,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #10 BRUNO PEDRO,854,14.23,4,29,11,23,5,14,2,2,3,13,8,5,2,4,25,8,22,3,8,6,10,3,9,5,4,2,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #66 GLENN COSEY,830,13.83,12,38,13,29,7,20,5,5,7,12,8,3,1,3,26,8,21,4,10,6,9,3,6,5,3,2,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#23 DEVON SCOTT / #9 THOMAS DRECHSEL,787,13.12,11,34,14,22,3,9,3,4,2,10,11,2,1,0,23,9,26,4,8,1,2,7,6,4,2,1,2
2026-08-05,Diablos Rojos,DRM,IRA,2,#7 JOSE CRUZ / #9 THOMAS DRECHSEL,749,12.48,14,30,13,22,2,8,2,2,2,9,8,2,3,1,18,8,24,2,6,0,0,8,6,3,3,0,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #6 SANTIAGO SCALA,714,11.9,8,30,10,24,5,15,5,5,7,13,7,3,1,3,22,5,18,3,9,9,13,2,5,4,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #66 GLENN COSEY,701,11.68,5,28,10,20,4,12,4,4,2,9,8,2,2,2,23,8,17,3,6,4,7,2,7,4,3,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #7 JOSE CRUZ,638,10.63,14,28,10,19,6,14,2,2,2,12,5,4,2,4,14,6,20,1,7,1,1,3,5,4,4,2,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#66 GLENN COSEY / #9 THOMAS DRECHSEL,631,10.52,2,27,9,19,3,10,6,7,4,5,8,1,2,0,24,7,14,4,7,6,9,3,5,4,3,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #23 DEVON SCOTT,595,9.92,11,27,12,18,1,5,2,2,2,8,9,1,1,0,16,7,21,2,5,0,0,6,4,2,1,0,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #21 PEDRO MENDOZA,592,9.87,8,26,8,11,5,8,5,6,0,10,6,4,0,2,18,8,19,2,7,0,0,1,3,4,1,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #9 THOMAS DRECHSEL,560,9.33,3,24,9,20,3,11,3,3,4,8,6,2,2,2,21,5,13,3,7,8,12,3,6,3,2,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#6 SANTIAGO SCALA / #66 GLENN COSEY,529,8.82,7,25,8,20,4,12,5,5,7,7,5,1,1,1,18,4,11,3,6,7,10,1,3,2,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #21 PEDRO MENDOZA,516,8.6,-2,21,7,12,5,7,2,4,2,5,5,4,1,0,23,9,17,4,7,1,2,3,3,4,2,1,3
2026-08-05,Diablos Rojos,DRM,IRA,2,#66 GLENN COSEY / #7 JOSE CRUZ,469,7.82,12,24,8,14,6,12,2,2,2,7,4,3,1,3,12,5,14,1,5,1,1,3,2,3,3,2,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #11 LUIS ANDRIASSI,460,7.67,1,19,6,10,4,7,3,4,1,6,5,3,0,1,18,6,13,3,7,3,4,2,2,3,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#21 PEDRO MENDOZA / #7 JOSE CRUZ,387,6.45,4,12,4,7,2,5,2,2,0,8,3,2,0,2,6,3,11,0,3,0,0,0,3,2,1,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#21 PEDRO MENDOZA / #66 GLENN COSEY,386,6.43,2,14,4,6,3,5,3,4,0,5,4,3,0,2,11,5,12,1,4,0,0,1,2,4,2,2,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #9 THOMAS DRECHSEL,361,6.02,4,18,5,10,2,5,6,7,2,4,4,1,1,0,14,4,9,2,4,4,5,1,3,2,2,1,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #12 RODRIGO DOMINGUEZ,348,5.8,3,17,5,9,3,5,4,5,3,4,2,2,0,0,14,5,10,2,6,2,2,1,0,2,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #66 GLENN COSEY,337,5.62,2,13,3,8,1,3,6,7,3,3,3,1,1,0,10,3,8,1,4,3,3,1,1,2,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#21 PEDRO MENDOZA / #23 DEVON SCOTT,322,5.37,2,13,4,10,2,5,3,4,2,5,5,1,0,0,11,4,11,2,4,1,2,2,4,2,1,1,3
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #12 RODRIGO DOMINGUEZ,317,5.28,0,12,4,6,3,4,1,2,1,4,2,3,1,0,12,5,10,2,5,0,0,1,0,2,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #6 SANTIAGO SCALA,314,5.23,4,12,3,9,1,4,5,5,3,5,2,0,1,0,8,2,6,0,2,4,5,0,2,1,1,0,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #21 PEDRO MENDOZA,284,4.73,4,10,3,5,2,4,2,2,0,6,2,3,1,2,6,3,9,0,2,0,0,0,2,2,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #21 PEDRO MENDOZA,278,4.63,2,14,4,4,3,3,3,4,0,3,3,3,1,0,12,5,9,2,4,0,0,1,0,2,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#23 DEVON SCOTT / #66 GLENN COSEY,272,4.53,3,13,4,7,4,7,1,2,2,2,3,2,0,1,9,3,8,2,4,1,1,2,0,3,2,2,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #23 DEVON SCOTT,238,3.97,-2,9,3,8,2,4,1,2,2,2,3,1,0,0,11,4,8,2,3,1,2,2,3,2,1,1,3
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #26 JAVIER GARCIA,235,3.92,2,12,4,4,3,3,1,2,0,3,2,3,1,0,10,4,8,2,4,0,0,1,0,1,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #26 JAVIER GARCIA,235,3.92,2,12,4,4,3,3,1,2,0,3,2,3,1,0,10,4,8,2,4,0,0,1,0,1,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#21 PEDRO MENDOZA / #26 JAVIER GARCIA,235,3.92,2,12,4,4,3,3,1,2,0,3,2,3,1,0,10,4,8,2,4,0,0,1,0,1,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #23 DEVON SCOTT,227,3.78,9,13,4,8,3,7,2,2,2,5,3,1,0,1,4,1,7,1,3,1,1,1,1,1,1,1,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#10 BRUNO PEDRO / #26 JAVIER GARCIA,208,3.47,2,12,4,4,3,3,1,2,0,2,2,2,0,0,10,4,7,2,4,0,0,1,0,1,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #11 LUIS ANDRIASSI,197,3.28,-1,5,2,4,1,3,0,0,0,4,2,2,1,1,6,1,5,1,2,3,4,1,2,1,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#21 PEDRO MENDOZA / #9 THOMAS DRECHSEL,192,3.2,0,9,3,5,2,4,1,2,0,2,3,1,0,0,9,3,6,2,3,1,2,1,2,2,1,1,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#21 PEDRO MENDOZA / #6 SANTIAGO SCALA,190,3.17,4,7,2,4,1,3,2,2,0,5,3,0,0,0,3,1,5,0,1,1,2,0,2,1,0,0,1
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #9 THOMAS DRECHSEL,170,2.83,-1,5,2,4,1,3,0,0,0,3,2,1,0,1,6,1,4,1,2,3,4,1,2,1,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #6 SANTIAGO SCALA,166,2.77,0,5,1,3,1,2,2,2,1,3,2,1,0,1,5,1,4,0,2,3,4,1,0,1,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #12 RODRIGO DOMINGUEZ,138,2.3,1,4,1,2,0,0,2,2,0,2,1,1,2,0,3,1,3,0,0,1,1,0,1,0,2,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #66 GLENN COSEY,125,2.08,-1,2,1,5,0,3,0,0,1,2,1,0,0,0,3,1,3,1,2,0,0,0,2,1,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#12 RODRIGO DOMINGUEZ / #7 JOSE CRUZ,46,0.77,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#0 YAN DJALO / #26 JAVIER GARCIA,27,0.45,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #23 DEVON SCOTT,0,0.0,2,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,2,#11 LUIS ANDRIASSI / #7 JOSE CRUZ,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,1053,17.55,10,41,17,30,3,11,4,4,4,14,13,3,3,2,31,10,26,4,9,7,11,4,9,4,3,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ,822,13.7,18,34,14,24,4,12,2,2,4,11,9,2,1,1,18,7,22,3,7,1,1,4,5,3,2,1,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,749,12.48,14,30,13,22,2,8,2,2,2,9,8,2,3,1,18,8,24,2,6,0,0,8,6,3,3,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #7 JOSE CRUZ,680,11.33,11,25,11,19,1,6,2,2,2,8,7,2,2,1,16,7,18,2,5,0,0,3,6,3,2,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,680,11.33,11,25,11,19,1,6,2,2,2,8,7,2,2,1,16,7,18,2,5,0,0,3,6,3,2,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,658,10.97,13,28,12,19,2,7,2,2,2,9,9,1,1,0,15,6,17,2,5,1,2,3,5,2,1,0,2
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #23 DEVON SCOTT / #6 SANTIAGO SCALA,595,9.92,11,25,11,17,1,5,2,2,2,7,9,1,1,0,16,7,17,2,5,0,0,3,4,2,1,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #23 DEVON SCOTT / #9 THOMAS DRECHSEL,595,9.92,11,25,11,17,1,5,2,2,2,8,8,1,1,0,14,6,20,2,5,0,0,6,4,2,1,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #23 DEVON SCOTT / #7 JOSE CRUZ,595,9.92,11,23,10,16,1,5,2,2,2,7,7,1,1,0,14,6,19,2,4,0,0,6,4,2,1,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#23 DEVON SCOTT / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,595,9.92,11,23,10,16,1,5,2,2,2,7,7,1,1,0,14,6,19,2,4,0,0,6,4,2,1,0,1
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #10 BRUNO PEDRO / #66 GLENN COSEY,590,9.83,4,24,9,18,4,12,2,2,2,8,7,2,1,2,20,7,15,3,6,3,6,2,6,4,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #10 BRUNO PEDRO / #9 THOMAS DRECHSEL,502,8.37,0,19,8,17,3,10,0,0,2,7,6,2,2,2,19,5,12,3,6,6,10,3,6,3,2,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #66 GLENN COSEY / #7 JOSE CRUZ,469,7.82,12,24,8,14,6,12,2,2,2,7,4,3,1,3,12,5,14,1,5,1,1,3,2,3,3,2,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #66 GLENN COSEY / #9 THOMAS DRECHSEL,444,7.4,1,18,7,15,2,8,2,2,2,4,6,0,2,0,17,5,9,3,4,4,7,2,5,2,2,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #66 GLENN COSEY,418,6.97,6,21,7,18,4,12,3,3,7,6,4,1,0,1,15,3,9,3,6,6,9,1,2,2,1,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #10 BRUNO PEDRO / #7 JOSE CRUZ,411,6.85,7,17,6,11,3,7,2,2,0,7,3,3,2,3,10,5,13,0,4,0,0,2,4,3,3,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,405,6.75,1,17,6,14,2,7,3,3,4,7,4,2,1,2,16,3,9,2,5,8,12,1,4,2,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #66 GLENN COSEY / #9 THOMAS DRECHSEL,391,6.52,3,19,7,16,2,9,3,3,4,4,5,0,1,0,16,4,8,3,5,5,8,2,4,2,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #10 BRUNO PEDRO / #6 SANTIAGO SCALA,347,5.78,-2,12,5,11,2,6,0,0,2,6,4,2,1,2,14,3,8,2,4,6,10,1,4,2,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#6 SANTIAGO SCALA / #66 GLENN COSEY / #9 THOMAS DRECHSEL,347,5.78,2,16,5,12,1,5,5,5,4,4,4,0,1,0,14,3,6,2,3,6,9,0,3,1,1,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #21 PEDRO MENDOZA / #7 JOSE CRUZ,341,5.68,6,12,4,7,2,5,2,2,0,8,3,2,0,2,6,3,11,0,3,0,0,0,3,2,1,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #66 GLENN COSEY / #7 JOSE CRUZ,326,5.43,7,15,5,8,3,6,2,2,0,5,3,2,1,2,8,4,10,0,3,0,0,2,2,2,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #6 SANTIAGO SCALA / #7 JOSE CRUZ,312,5.2,7,13,5,11,3,8,0,0,2,7,2,2,1,2,6,2,10,1,4,1,1,1,3,2,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#12 RODRIGO DOMINGUEZ / #66 GLENN COSEY / #9 THOMAS DRECHSEL,298,4.97,2,13,3,6,1,2,6,7,2,2,3,1,1,0,10,3,7,1,3,3,3,1,1,2,2,1,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#10 BRUNO PEDRO / #11 LUIS ANDRIASSI / #12 RODRIGO DOMINGUEZ,290,4.83,0,12,4,6,3,4,1,2,1,3,2,2,0,0,12,5,9,2,5,0,0,1,0,2,0,0,0
2026-08-05,Diablos Rojos,DRM,IRA,3,#0 YAN DJALO / #6 SANTIAGO SCALA / #66 GLENN COSEY,289,4.82,-1,11,4,9,1,4,2,2,2,3,4,0,1,0,12,3,5,2,2,4,7,0,3,1,1,0,0
