date,team,team_code,opponent,size,lineup,seconds,minutes,plus_minus,pts,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,tov,stl,blk,opp_pts,opp_fgm,opp_fga,opp_tpm,opp_tpa,opp_ftm,opp_fta,opp_orb,opp_drb,opp_ast,opp_tov,opp_stl,opp_blk
2026-08-09,Diablos Rojos,DRM,MTY,1,#24 MICHAEL CARRERA,2003,33.38,-13,45,16,54,4,33,9,13,12,21,9,14,10,4,60,28,56,3,13,1,6,9,28,18,15,8,2
2026-08-09,Diablos Rojos,DRM,MTY,1,#9 THOMAS DRECHSEL,1827,30.45,-21,36,12,47,1,26,11,15,13,18,7,13,8,3,57,26,53,4,15,1,4,10,24,18,11,7,2
2026-08-09,Diablos Rojos,DRM,MTY,1,#6 SANTIAGO SCALA,1609,26.82,-15,40,13,40,4,26,10,14,8,12,10,11,7,4,53,24,43,3,10,2,4,6,21,14,9,5,1
2026-08-09,Diablos Rojos,DRM,MTY,1,#7 JOSE CRUZ,1571,26.18,-6,48,17,39,7,24,7,7,5,11,14,10,8,1,50,22,36,1,7,5,8,5,16,12,10,5,1
2026-08-09,Diablos Rojos,DRM,MTY,1,#23 DEVON SCOTT,1372,22.87,-9,33,10,34,4,20,9,13,10,13,7,11,7,2,40,17,35,2,9,4,8,6,16,12,8,5,2
2026-08-09,Diablos Rojos,DRM,MTY,1,#15 BRANDON ROBINSON,1320,22.0,1,32,10,30,4,19,8,12,9,12,5,8,3,4,32,12,31,3,9,5,10,7,14,8,4,4,1
2026-08-09,Diablos Rojos,DRM,MTY,1,#0 YAN DJALO,980,16.33,5,39,14,30,7,19,4,4,5,6,11,7,7,1,34,14,23,1,5,5,8,3,10,6,8,4,0
2026-08-09,Diablos Rojos,DRM,MTY,1,#66 GLENN COSEY,735,12.25,3,24,9,21,3,10,3,3,6,9,4,6,2,0,21,8,20,1,6,4,8,5,6,6,3,4,1
2026-08-09,Diablos Rojos,DRM,MTY,1,#10 BRUNO PEDRO,512,8.53,-10,10,3,12,0,7,4,4,2,5,3,4,0,1,20,8,17,2,7,2,2,4,7,5,1,2,0
2026-08-09,Diablos Rojos,DRM,MTY,2,#24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,1695,28.25,-22,30,10,42,1,25,9,13,11,17,6,13,7,3,54,25,49,3,12,1,4,9,23,17,11,7,2
2026-08-09,Diablos Rojos,DRM,MTY,2,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA,1506,25.1,-12,34,12,39,4,26,6,10,8,12,8,10,7,4,46,22,40,2,8,0,2,5,21,13,9,5,1
