date,team,team_code,opponent,size,lineup,seconds,minutes,plus_minus,pts,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,tov,stl,blk,opp_pts,opp_fgm,opp_fga,opp_tpm,opp_tpa,opp_ftm,opp_fta,opp_orb,opp_drb,opp_ast,opp_tov,opp_stl,opp_blk
2026-08-15,Diablos Rojos,DRM,FRE,1,#24 MICHAEL CARRERA,2086,34.77,-4,66,24,57,6,19,12,16,11,23,16,9,2,2,70,24,54,7,20,15,23,13,22,15,10,4,7
2026-08-15,Diablos Rojos,DRM,FRE,1,#9 THOMAS DRECHSEL,1825,30.42,0,64,22,52,6,19,14,17,11,18,15,7,4,1,64,23,50,7,20,11,17,13,17,12,11,3,8
2026-08-15,Diablos Rojos,DRM,FRE,1,#66 GLENN COSEY,1772,29.53,9,65,23,47,8,19,11,15,9,16,13,8,3,1,56,19,43,4,16,14,17,11,14,11,9,3,4
2026-08-15,Diablos Rojos,DRM,FRE,1,#15 BRANDON ROBINSON,1463,24.38,-12,49,16,36,5,14,12,15,7,12,11,8,2,1,61,18,37,6,14,19,22,10,13,9,7,4,4
2026-08-15,Diablos Rojos,DRM,FRE,1,#0 YAN DJALO,1204,20.07,-2,47,15,33,6,17,11,14,7,10,8,5,3,0,49,16,33,6,15,11,12,8,10,7,7,2,3
2026-08-15,Diablos Rojos,DRM,FRE,1,#6 SANTIAGO SCALA,968,16.13,-12,27,10,29,2,9,5,6,6,14,7,7,1,2,39,12,27,5,12,10,17,6,12,9,5,3,5
2026-08-15,Diablos Rojos,DRM,FRE,1,#10 BRUNO PEDRO,958,15.97,14,41,15,28,6,11,5,6,7,8,9,3,3,1,27,9,21,2,9,7,7,4,5,4,7,1,3
2026-08-15,Diablos Rojos,DRM,FRE,1,#23 DEVON SCOTT,877,14.62,-9,19,7,19,0,3,5,5,2,11,5,7,1,0,28,11,22,2,8,4,11,5,10,9,5,3,2
2026-08-15,Diablos Rojos,DRM,FRE,1,#7 JOSE CRUZ,750,12.5,2,20,7,18,1,4,5,5,5,7,5,5,1,1,18,7,16,1,6,3,7,4,6,7,4,2,4
2026-08-15,Diablos Rojos,DRM,FRE,1,#12 RODRIGO DOMINGUEZ,97,1.62,-1,2,1,1,0,0,0,1,0,1,1,1,0,1,3,1,2,0,0,1,2,1,1,2,0,0,0
2026-08-15,Diablos Rojos,DRM,FRE,2,#24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,1613,26.88,-4,52,18,46,4,16,12,15,10,17,13,5,2,1,56,20,44,6,16,10,16,11,17,11,8,2,7
2026-08-15,Diablos Rojos,DRM,FRE,2,#24 MICHAEL CARRERA / #66 GLENN COSEY,1458,24.3,8,51,19,40,6,15,7,11,7,15,11,5,1,1,43,15,36,3,12,10,13,9,14,9,6,2,3
2026-08-15,Diablos Rojos,DRM,FRE,2,#15 BRANDON ROBINSON / #66 GLENN COSEY,1225,20.42,-2,41,13,28,5,11,10,13,5,9,8,6,1,1,43,13,30,3,11,14,16,10,10,7,5,3,3
2026-08-15,Diablos Rojos,DRM,FRE,2,#66 GLENN COSEY / #9 THOMAS DRECHSEL,1197,19.95,12,49,17,35,6,15,9,12,7,10,10,3,3,0,37,14,32,3,12,6,7,9,9,6,7,1,4
2026-08-15,Diablos Rojos,DRM,FRE,2,#15 BRANDON ROBINSON / #24 MICHAEL CARRERA,1149,19.15,-11,37,13,31,3,10,8,11,6,12,9,6,1,1,48,14,31,5,11,15,18,8,13,7,5,3,4
