date,team,team_code,opponent,size,lineup,minutes,plus_minus,pm_per36
2026-07-23,Diablos Rojos,DRM,AGS,1,#9 THOMAS DRECHSEL,33.58,-5,-5.36
2026-07-23,Diablos Rojos,DRM,AGS,1,#7 JOSE CRUZ,18.52,-10,-19.44
2026-07-23,Diablos Rojos,DRM,AGS,2,#7 JOSE CRUZ / #9 THOMAS DRECHSEL,14.3,-6,-15.1
2026-07-23,Diablos Rojos,DRM,AGS,1,#6 SANTIAGO SCALA,26.93,-2,-2.67
2026-07-23,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,20.52,4,7.02
2026-07-23,Diablos Rojos,DRM,AGS,2,#6 SANTIAGO SCALA / #7 JOSE CRUZ,15.25,-7,-16.52
2026-07-23,Diablos Rojos,DRM,AGS,3,#6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,11.03,-3,-9.79
2026-07-23,Diablos Rojos,DRM,AGS,1,#24 MICHAEL CARRERA,32.08,-3,-3.37
2026-07-23,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,30.13,-2,-2.39
2026-07-23,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #7 JOSE CRUZ,15.87,-6,-13.61
2026-07-23,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,13.92,-5,-12.93
2026-07-23,Diablos Rojos,DRM,AGS,2,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA,19.4,5,9.28
2026-07-23,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,17.45,6,12.38
2026-07-23,Diablos Rojos,DRM,AGS,3,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ,12.98,-4,-11.09
2026-07-23,Diablos Rojos,DRM,AGS,4,#24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,11.03,-3,-9.79
2026-07-23,Diablos Rojos,DRM,AGS,1,#23 DEVON SCOTT,26.87,-2,-2.68
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #9 THOMAS DRECHSEL,24.53,-1,-1.47
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #7 JOSE CRUZ,13.75,-4,-10.47
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,11.42,-3,-9.46
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #6 SANTIAGO SCALA,19.53,3,5.53
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,17.2,4,8.37
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ,11.3,-4,-12.74
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,8.97,-3,-12.04
2026-07-23,Diablos Rojos,DRM,AGS,2,#23 DEVON SCOTT / #24 MICHAEL CARRERA,24.17,1,1.49
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,22.22,2,3.24
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #7 JOSE CRUZ,12.98,-3,-8.32
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,11.03,-2,-6.53
2026-07-23,Diablos Rojos,DRM,AGS,3,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA,17.22,5,10.45
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #9 THOMAS DRECHSEL,15.27,6,14.15
2026-07-23,Diablos Rojos,DRM,AGS,4,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ,10.92,-4,-13.19
2026-07-23,Diablos Rojos,DRM,AGS,5,#23 DEVON SCOTT / #24 MICHAEL CARRERA / #6 SANTIAGO SCALA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,8.97,-3,-12.04
2026-07-23,Diablos Rojos,DRM,AGS,1,#0 YAN DJALO,25.75,-8,-11.18
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #9 THOMAS DRECHSEL,21.28,-3,-5.08
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #7 JOSE CRUZ,4.27,-7,-59.02
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,2.0,-4,-72.0
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #24 MICHAEL CARRERA,17.83,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #24 MICHAEL CARRERA / #9 THOMAS DRECHSEL,17.83,0,0.0
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #24 MICHAEL CARRERA / #7 JOSE CRUZ,1.62,-3,-66.67
2026-07-23,Diablos Rojos,DRM,AGS,4,#0 YAN DJALO / #24 MICHAEL CARRERA / #7 JOSE CRUZ / #9 THOMAS DRECHSEL,1.62,-3,-66.67
2026-07-23,Diablos Rojos,DRM,AGS,2,#0 YAN DJALO / #23 DEVON SCOTT,15.5,-2,-4.65
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #9 THOMAS DRECHSEL,15.12,-2,-4.76
2026-07-23,Diablos Rojos,DRM,AGS,3,#0 YAN DJALO / #23 DEVON SCOTT / #7 JOSE CRUZ,2.38,-4,-60.5
